Tweet_id,Tweet,User_id
1050000000000000000,Ships wrecked on Dog Island in 1899 unearthed by Hurricane Michael https://t.co/kan84Ikgo4 via @tdonline,264754630
1050000000000000000,"Hurricane Michael victims can't use phones to summon help, thanks to Trump's FCC head and Rick Scott https://t.co/UKxIuMdyK3",1188294864
1050000000000000000,"Rick Scott reportedly used Hurricane Michael recovery as backdrop for his new political ad. Now, we learn he had a financial link to rebuilding Puerto Rico’s power grid after Maria. It seems the only person Rick Scott is ever looking out for is himself: https://t.co/tashzSPc56",741000000000000000
1050000000000000000,"“The Ford was dressed to look like a patrol cruiser and every member was wearing tactical clothing, including one vest that stated ""tactical officer.""” https://t.co/BteogRQ2jj",940000000000000000
1050000000000000000,"“The seaside community of Mexico Beach, Florida, was demolished by Hurricane Michael -- but one family's newly built concrete home survived virtually untouched.” https://t.co/Wkq3g1CrjM",922000000000000000
1050000000000000000,Ships wrecked on Dog Island in 1899 unearthed by Hurricane Michael https://t.co/kan84Ikgo4 via @tdonline,861965768
1050000000000000000,Hurricane Michael Has Unearthed Lost Ships On Florida's Dog Island That Were Wrecked During 1899 Hurricane. #News  https://t.co/y9TVo8CPea,18058438
1050000000000000000,"Rick Scott reportedly used Hurricane Michael recovery as backdrop for his new political ad. Now, we learn he had a financial link to rebuilding Puerto Rico’s power grid after Maria. It seems the only person Rick Scott is ever looking out for is himself: https://t.co/tashzSPc56",535055364
1050000000000000000,"Rick Scott says he’s NOT campaigning because of Hurricane Michael. Turns out, he’s bought $6,899,890 worth of political ads since the storm began clobbering Florida.",2497578709
1050000000000000000,https://t.co/yjtrIP7mfH,1209274076
1050000000000000000,"The death toll from Hurricane Michael rose to 36 after a medical examiner confirmed the death of a woman in Bay County, Florida https://t.co/JQQ85FTGM0 https://t.co/N8vKfMgKMN",604883440
1050000000000000000,"VOTE MY STATE RED I BEG OF YOU PATRIOTS🇺🇸PRESIDENT TRUMP ENDORSED RICK SCOTT FOR SENATE
WHAT A FANTASTIC JOB HE'S DONE AS OUR GOVERNOR AND NOW DOING A GREAT AFTER HURRICANE MICHAEL PRAYING 🙏FOR FLORIDA TO HAVE THE LARGEST RED WAVE THEY EVER SEEN
#VoteREDToSaveAmerica
#RickScott https://t.co/dEtzb77ekV",1514780328
